customer_id,customer_name,customer_segment,signup_date,location_id
CUST00001,Aarav Patel,New,2024-01-07,LOC0117
CUST00002,Divya Gupta,Loyal,2024-08-02,LOC0034
CUST00003,Pooja Nair,New,2022-11-17,LOC0093
CUST00004,Sneha Nair,Regular,2024-01-15,LOC0079
CUST00005,Kavya Chawla,New,2022-05-04,LOC0025
CUST00006,Meera Iyer,Regular,2024-06-24,LOC0058
CUST00007,Karthik Sharma,Loyal,2024-12-09,LOC0088
CUST00008,Divya Reddy,Regular,2022-07-13,LOC0059
CUST00009,Priya Patel,New,2023-08-05,LOC0077
CUST00010,Vikram Reddy,New,2024-05-23,LOC0145
CUST00011,Neha Pillai,Regular,2024-07-14,LOC0055
CUST00012,Vikram Chawla,Loyal,2024-01-24,LOC0114
CUST00013,Rohan Patel,Regular,2024-11-30,LOC0032
CUST00014,Aditya Das,New,2023-04-14,LOC0036
CUST00015,Rohan Rao,Loyal,2023-11-29,LOC0073
CUST00016,Aarav Kumar,New,2024-03-01,LOC0131
CUST00017,Aditya Kumar,Regular,2022-04-01,LOC0062
CUST00018,Priya Rao,Regular,2024-02-03,LOC0019
CUST00019,Aarav Das,Loyal,2022-12-05,LOC0100
CUST00020,Rajesh Chawla,Loyal,2024-01-08,LOC0045
CUST00021,Rohan Sharma,New,2022-05-15,LOC0004
CUST00022,Ananya Verma,Regular,2023-11-12,LOC0074
CUST00023,Suresh Chawla,New,2024-05-17,LOC0103
CUST00024,Anita Gowda,New,2022-07-26,LOC0072
CUST00025,Rohan Banerjee,Regular,2025-06-12,LOC0040
CUST00026,Aditya Bhat,New,2024-04-02,LOC0017
CUST00027,Divya Rao,Loyal,2023-08-10,LOC0023
CUST00028,Priya Pillai,New,2023-11-07,LOC0015
CUST00029,Neha Patel,Regular,2024-12-19,LOC0036
CUST00030,Neha Deshmukh,Loyal,2023-12-25,LOC0133
CUST00031,Siddharth Nair,Regular,2022-11-01,LOC0069
CUST00032,Priya Sharma,New,2024-10-17,LOC0110
CUST00033,Rohan Singh,Regular,2024-09-26,LOC0148
CUST00034,Meera Pillai,Regular,2023-04-18,LOC0015
CUST00035,Rajesh Nair,Loyal,2022-12-05,LOC0066
CUST00036,Rajesh Patel,New,2024-10-04,LOC0131
CUST00037,Aarav Rao,Regular,2024-04-05,LOC0094
CUST00038,Vikram Nair,New,2024-07-02,LOC0108
CUST00039,Kavya Chawla,Regular,2023-04-25,LOC0020
CUST00040,Priya Banerjee,New,2024-08-02,LOC0014
CUST00041,Suresh Verma,Loyal,2022-08-19,LOC0120
CUST00042,Pooja Joshi,New,2024-06-06,LOC0117
CUST00043,Arjun Kumar,Regular,2024-05-30,LOC0078
CUST00044,Kavya Pillai,Premium,2024-02-22,LOC0127
CUST00045,Arjun Gowda,Premium,2023-01-30,LOC0002
CUST00046,Aarav Rao,Premium,2023-03-19,LOC0003
CUST00047,Aarav Mehta,Regular,2022-11-11,LOC0053
CUST00048,Kavya Chawla,Premium,2025-01-03,LOC0016
CUST00049,Vikram Singh,Loyal,2022-12-29,LOC0060
CUST00050,Suresh Chawla,Regular,2024-07-13,LOC0096
CUST00051,Rohan Bhat,Regular,2024-04-14,LOC0035
CUST00052,Aditya Iyer,Regular,2023-10-06,LOC0016
CUST00053,Vikram Rao,Loyal,2023-04-29,LOC0081
CUST00054,Aditya Joshi,New,2023-10-29,LOC0070
CUST00055,Arjun Reddy,New,2022-06-27,LOC0040
CUST00056,Karthik Pillai,Regular,2023-09-14,LOC0031
CUST00057,Arjun Pillai,Loyal,2023-11-14,LOC0068
CUST00058,Rohan Nair,New,2022-11-22,LOC0011
CUST00059,Rahul Reddy,Premium,2024-11-13,LOC0064
CUST00060,Aditya Banerjee,New,2024-10-30,LOC0077
CUST00061,Neha Sharma,Regular,2024-10-30,LOC0116
CUST00062,Anita Rao,Loyal,2024-03-01,LOC0027
CUST00063,Vikram Patel,New,2023-02-27,LOC0057
CUST00064,Aditya Das,Regular,2023-10-22,LOC0022
CUST00065,Siddharth Iyer,Loyal,2023-02-25,LOC0051
CUST00066,Karthik Reddy,New,2025-05-29,LOC0085
CUST00067,Karthik Verma,Regular,2025-05-10,LOC0147
CUST00068,Aditya Deshmukh,New,2024-01-12,LOC0110
CUST00069,Arjun Nair,Loyal,2023-05-27,LOC0115
CUST00070,Ananya Menon,Regular,2023-11-11,LOC0063
CUST00071,Meera Chawla,New,2023-07-29,LOC0016
CUST00072,Aditya Reddy,New,2022-12-22,LOC0135
CUST00073,Anita Sharma,Regular,2024-08-28,LOC0092
CUST00074,Meera Das,regular,2023-08-14,LOC0083
CUST00075,Neha Sharma,New,2024-03-24,LOC0057
CUST00076,Siddharth Verma,Loyal,2023-10-29,LOC0092
CUST00077,Kavya Nair,New,2023-07-22,LOC0062
CUST00078,Ananya Rao,Regular,2024-07-26,LOC0100
CUST00079,Neha Nair,Loyal,2024-04-30,LOC0082
CUST00080,Sneha Bhat,Premium,2024-12-07,LOC0091
CUST00081,Rajesh Reddy,Loyal,2024-11-14,LOC0049
CUST00082,Meera Gowda,New,2023-01-22,LOC0126
CUST00083,Ananya Rao,Regular,2022-10-09,LOC0006
CUST00084,Aarav Joshi,New,2022-09-15,LOC0034
CUST00085,Neha Joshi,Regular,2022-12-24,LOC0038
CUST00086,Vikram Patel,Premium,2024-09-04,LOC0094
CUST00087,Sneha Mehta,New,2022-06-18,LOC0087
CUST00088,Vikram Nair,Regular,2024-08-10,LOC0125
CUST00089,Neha Gowda,New,2024-07-09,LOC0092
CUST00090,Rajesh Nair,New,2023-05-02,LOC0076
CUST00091,Aarav Bhat,New,2024-11-02,LOC0146
CUST00092,Deepika Joshi,New,2022-10-06,LOC0145
CUST00093,Meera Reddy,New,2024-08-17,LOC0020
CUST00094,Rahul Nair,Loyal,2024-08-04,LOC0023
CUST00095,Rahul Pillai,New,2023-09-24,LOC0054
CUST00096,Rohan Das,Regular,2024-11-05,LOC0028
CUST00097,Ananya Mehta,Premium,2024-06-10,LOC0108
CUST00098,Divya Deshmukh,Regular,2023-06-16,LOC0140
CUST00099,Meera Bhat,New,2024-03-19,LOC0058
CUST00100,Rohan Verma,New,2022-08-24,LOC0082
CUST00101,Priya Iyer,New,2022-12-31,LOC0097
CUST00102,Rohan Gowda,Regular,2023-10-27,LOC0124
CUST00103,Divya Nair,New,2024-08-24,LOC0112
CUST00104,Priya Joshi,Regular,2025-06-11,LOC0049
CUST00105,Anita Gowda,New,2024-06-25,LOC0073
CUST00106,Priya Verma,Loyal,2024-01-20,LOC0141
CUST00107,Vikram Verma,New,2022-07-04,LOC0110
CUST00108,Deepika Deshmukh,New,2022-12-29,LOC0007
CUST00109,Pooja Iyer,New,2024-09-14,LOC0030
CUST00110,Aditya Deshmukh,New,2024-10-28,LOC0068
CUST00111,Anita Mehta,Regular,2023-10-13,LOC0098
CUST00112,Karthik Verma,New,2023-11-13,LOC0120
CUST00113,Siddharth Bhat,New,2023-05-04,LOC0025
CUST00114,Sneha Gowda,Regular,2025-02-22,LOC0059
CUST00115,Aditya Banerjee,Regular,2025-02-13,LOC0138
CUST00116,Meera Bhat,New,2024-01-03,LOC0077
CUST00117,Ananya Banerjee,Loyal,2024-09-22,LOC0133
CUST00118,Deepika Reddy,New,2025-06-30,LOC0115
CUST00119,Neha Gupta,Regular,2023-02-01,LOC0011
CUST00120,Divya Gupta,New,2022-07-15,LOC0067
CUST00121,Rohan Iyer,Regular,2024-01-07,LOC0102
CUST00122,Siddharth Banerjee,Loyal,2024-12-06,LOC0004
CUST00123,Deepika Bhat,New,2024-06-17,LOC0108
CUST00124,Vikram Reddy,Loyal,2023-11-09,LOC0150
CUST00125,Priya Patel,Loyal,2024-05-25,LOC0026
CUST00126,Anita Das,Regular,2023-03-02,LOC0099
CUST00127,Rajesh Menon,New,2022-06-11,LOC0045
CUST00128,Vikram Menon,New,2024-01-22,LOC0103
CUST00129,Rahul Rao,Loyal,2025-01-08,LOC0122
CUST00130,Sneha Sharma,New,2024-10-27,LOC0078
CUST00131,Meera Patel,Premium,2023-01-22,LOC0077
CUST00132,Karthik Joshi,Regular,2024-09-01,LOC0107
CUST00133,Rohan Gupta,Regular,2022-12-22,LOC0105
CUST00134,Suresh Das,New,2024-05-14,LOC0041
CUST00135,Suresh Mehta,Loyal,2024-12-31,LOC0135
CUST00136,Aarav Nair,Loyal,2025-03-09,LOC0052
CUST00137,Kavya Verma,Regular,2022-07-03,LOC0093
CUST00138,Siddharth Das,Regular,2023-10-08,LOC0102
CUST00139,Priya Sharma,Regular,2023-09-16,LOC0126
CUST00140,Neha Deshmukh,New,2023-09-22,LOC0090
CUST00141,Siddharth Iyer,New,2022-09-06,LOC0099
CUST00142,Rajesh Gupta,Regular,2024-07-03,LOC0058
CUST00143,Siddharth Chawla,Regular,2022-05-04,LOC0003
CUST00144,Vikram Nair,New,2024-05-28,LOC0003
CUST00145,Deepika Kumar,Regular,2024-09-18,LOC0071
CUST00146,Aditya Das,Regular,2023-01-24,LOC0056
CUST00147,Suresh Menon,New,2024-01-31,LOC0027
CUST00148,Sneha Gowda,New,2023-10-05,LOC0073
CUST00149,Priya Deshmukh,Regular,2023-11-09,LOC0071
CUST00150,Siddharth Singh,New,2024-01-29,LOC0077
